dataset,size,algo,threshold,trial,time_us
random,7000,ms+ins,50,2,491
random,7000,ms+ins,50,3,554
reverse,7000,ms,0,1,246
reverse,7000,ms,0,2,231
reverse,7000,ms,0,3,208
reverse,7000,ms+ins,5,1,115
reverse,7000,ms+ins,5,2,111
reverse,7000,ms+ins,5,3,111
reverse,7000,ms+ins,10,1,98
reverse,7000,ms+ins,10,2,93
reverse,7000,ms+ins,10,3,95
reverse,7000,ms+ins,20,1,139
reverse,7000,ms+ins,20,2,127
reverse,7000,ms+ins,20,3,122
reverse,7000,ms+ins,30,1,224
reverse,7000,ms+ins,30,2,213
reverse,7000,ms+ins,30,3,214
reverse,7000,ms+ins,50,1,213
reverse,7000,ms+ins,50,2,201
reverse,7000,ms+ins,50,3,186
nearly,7000,ms,0,1,265
nearly,7000,ms,0,2,254
nearly,7000,ms,0,3,262
nearly,7000,ms+ins,5,1,183
nearly,7000,ms+ins,5,2,189
nearly,7000,ms+ins,5,3,180
nearly,7000,ms+ins,10,1,140
nearly,7000,ms+ins,10,2,134
nearly,7000,ms+ins,10,3,124
nearly,7000,ms+ins,20,1,109
nearly,7000,ms+ins,20,2,100
nearly,7000,ms+ins,20,3,96
nearly,7000,ms+ins,30,1,105
nearly,7000,ms+ins,30,2,100
nearly,7000,ms+ins,30,3,101
nearly,7000,ms+ins,50,1,98
nearly,7000,ms+ins,50,2,114
nearly,7000,ms+ins,50,3,112
random,7500,ms,0,1,599
random,7500,ms,0,2,629
random,7500,ms,0,3,643
random,7500,ms+ins,5,1,497
random,7500,ms+ins,5,2,478
random,7500,ms+ins,5,3,425
random,7500,ms+ins,10,1,480
random,7500,ms+ins,10,2,481
random,7500,ms+ins,10,3,450
random,7500,ms+ins,20,1,493
random,7500,ms+ins,20,2,442
random,7500,ms+ins,20,3,476
random,7500,ms+ins,30,1,485
random,7500,ms+ins,30,2,512
random,7500,ms+ins,30,3,461
random,7500,ms+ins,50,1,458
random,7500,ms+ins,50,2,482
random,7500,ms+ins,50,3,502
reverse,7500,ms,0,1,245
reverse,7500,ms,0,2,224
reverse,7500,ms,0,3,289
reverse,7500,ms+ins,5,1,156
reverse,7500,ms+ins,5,2,147
reverse,7500,ms+ins,5,3,151
reverse,7500,ms+ins,10,1,141
reverse,7500,ms+ins,10,2,124
