dataset,size,algo,trial,time_us
nearly,22000,qs,1,588
nearly,22000,qs,2,552
nearly,22000,qs,3,516
nearly,22000,intro,1,381
nearly,22000,intro,2,376
nearly,22000,intro,3,323
nearly,22500,qs,1,492
nearly,22500,qs,2,510
nearly,22500,qs,3,551
nearly,22500,intro,1,389
nearly,22500,intro,2,380
nearly,22500,intro,3,424
nearly,23000,qs,1,670
nearly,23000,qs,2,630
nearly,23000,qs,3,544
nearly,23000,intro,1,398
nearly,23000,intro,2,368
nearly,23000,intro,3,371
nearly,23500,qs,1,563
nearly,23500,qs,2,584
nearly,23500,qs,3,573
nearly,23500,intro,1,389
nearly,23500,intro,2,418
nearly,23500,intro,3,365
nearly,24000,qs,1,585
nearly,24000,qs,2,574
nearly,24000,qs,3,664
nearly,24000,intro,1,403
nearly,24000,intro,2,370
nearly,24000,intro,3,431
nearly,24500,qs,1,721
nearly,24500,qs,2,612
nearly,24500,qs,3,593
nearly,24500,intro,1,456
nearly,24500,intro,2,408
nearly,24500,intro,3,403
nearly,25000,qs,1,636
nearly,25000,qs,2,592
nearly,25000,qs,3,579
nearly,25000,intro,1,422
nearly,25000,intro,2,382
nearly,25000,intro,3,395
nearly,25500,qs,1,620
nearly,25500,qs,2,686
nearly,25500,qs,3,704
nearly,25500,intro,1,425
nearly,25500,intro,2,388
nearly,25500,intro,3,410
nearly,26000,qs,1,591
nearly,26000,qs,2,608
nearly,26000,qs,3,638
nearly,26000,intro,1,420
nearly,26000,intro,2,429
nearly,26000,intro,3,447
nearly,26500,qs,1,684
nearly,26500,qs,2,635
nearly,26500,qs,3,687
nearly,26500,intro,1,491
