rect,N,estimate,rel_error,rect_area,exact_area
large,75600,0.9408352731,0.0038981957,9.7221359550,0.9445171859
small,76100,0.9430149803,0.0015904481,1.9600000000,0.9445171859
large,76100,0.9335039083,0.0116602194,9.7221359550,0.9445171859
small,76600,0.9513420366,0.0072257559,1.9600000000,0.9445171859
large,76600,0.9520331827,0.0079575014,9.7221359550,0.9445171859
small,77100,0.9505364462,0.0063728436,1.9600000000,0.9445171859
large,77100,0.9507769793,0.0066275060,9.7221359550,0.9445171859
small,77600,0.9503221649,0.0061459750,1.9600000000,0.9445171859
large,77600,0.9544230890,0.0104877955,9.7221359550,0.9445171859
small,78100,0.9465469910,0.0021490399,1.9600000000,0.9445171859
large,78100,0.9500555904,0.0058637414,9.7221359550,0.9445171859
small,78600,0.9463857506,0.0019783279,1.9600000000,0.9445171859
large,78600,0.9453725840,0.0009056459,9.7221359550,0.9445171859
small,79100,0.9509840708,0.0068467626,1.9600000000,0.9445171859
large,79100,0.9514419017,0.0073314874,9.7221359550,0.9445171859
small,79600,0.9469557789,0.0025818408,1.9600000000,0.9445171859
large,79600,0.9411906994,0.0035218910,9.7221359550,0.9445171859
small,80100,0.9476759051,0.0033442687,1.9600000000,0.9445171859
large,80100,0.9376217260,0.0073005129,9.7221359550,0.9445171859
small,80600,0.9496516129,0.0054360334,1.9600000000,0.9445171859
large,80600,0.9269803327,0.0185670028,9.7221359550,0.9445171859
small,81100,0.9427092478,0.0019141399,1.9600000000,0.9445171859
large,81100,0.9472788942,0.0029239365,9.7221359550,0.9445171859
small,81600,0.9437784314,0.0007821504,1.9600000000,0.9445171859
large,81600,0.9502911321,0.0061131192,9.7221359550,0.9445171859
small,82100,0.9465057247,0.0021053495,1.9600000000,0.9445171859
large,82100,0.9471089326,0.0027439911,9.7221359550,0.9445171859
small,82600,0.9408000000,0.0039355408,1.9600000000,0.9445171859
large,82600,0.9478494049,0.0035279602,9.7221359550,0.9445171859
small,83100,0.9425217810,0.0021126190,1.9600000000,0.9445171859
large,83100,0.9532606951,0.0092571203,9.7221359550,0.9445171859
small,83600,0.9388540670,0.0059957818,1.9600000000,0.9445171859
large,83600,0.9691899647,0.0261221068,9.7221359550,0.9445171859
small,84100,0.9427343639,0.0018875486,1.9600000000,0.9445171859
large,84100,0.9421570515,0.0024987734,9.7221359550,0.9445171859
small,84600,0.9511560284,0.0070288213,1.9600000000,0.9445171859
large,84600,0.9358992342,0.0091241872,9.7221359550,0.9445171859
small,85100,0.9416061105,0.0030820778,1.9600000000,0.9445171859
large,85100,0.9186333163,0.0274043395,9.7221359550,0.9445171859
small,85600,0.9439598131,0.0005901140,1.9600000000,0.9445171859
large,85600,0.9391628763,0.0056688324,9.7221359550,0.9445171859
small,86100,0.9458991870,0.0014631826,1.9600000000,0.9445171859
large,86100,0.9584377466,0.0147382821,9.7221359550,0.9445171859
small,86600,0.9487893764,0.0045231475,1.9600000000,0.9445171859
large,86600,0.9621097591,0.0186259958,9.7221359550,0.9445171859
small,87100,0.9441079219,0.0004333049,1.9600000000,0.9445171859
large,87100,0.9266724764,0.0188929431,9.7221359550,0.9445171859
small,87600,0.9403972603,0.0043619382,1.9600000000,0.9445171859
large,87600,0.9454666233,0.0010052092,9.7221359550,0.9445171859
small,88100,0.9422460840,0.0024045109,1.9600000000,0.9445171859
large,88100,0.9407628719,0.0039748498,9.7221359550,0.9445171859
small,88600,0.9458659142,0.0014279553,1.9600000000,0.9445171859
large,88600,0.9403917058,0.0043678190,9.7221359550,0.9445171859
small,89100,0.9446716049,0.0001634899,1.9600000000,0.9445171859
large,89100,0.9372968334,0.0076444904,9.7221359550,0.9445171859
small,89600,0.9482156250,0.0039156928,1.9600000000,0.9445171859
large,89600,0.9556121803,0.0117467364,9.7221359550,0.9445171859
small,90100,0.9465211987,0.0021217325,1.9600000000,0.9445171859
large,90100,0.9627180576,0.0192700270,9.7221359550,0.9445171859
small,90600,0.9390909492,0.0057449846,1.9600000000,0.9445171859
large,90600,0.9331533583,0.0120313614,9.7221359550,0.9445171859
small,91100,0.9493844127,0.0051531374,1.9600000000,0.9445171859
large,91100,0.9531108256,0.0090984472,9.7221359550,0.9445171859
small,91600,0.9387244541,0.0061330083,1.9600000000,0.9445171859
large,91600,0.9523660035,0.0083098728,9.7221359550,0.9445171859
small,92100,0.9389485342,0.0058957654,1.9600000000,0.9445171859
large,92100,0.9543738455,0.0104356593,9.7221359550,0.9445171859
small,92600,0.9444829374,0.0000362604,1.9600000000,0.9445171859
large,92600,0.9582498365,0.0145393338,9.7221359550,0.9445171859
small,93100,0.9430736842,0.0015282958,1.9600000000,0.9445171859
large,93100,0.9621886218,0.0187094911,9.7221359550,0.9445171859
small,93600,0.9392504274,0.0055761384,1.9600000000,0.9445171859
large,93600,0.9456231382,0.0011709181,9.7221359550,0.9445171859
